link,title,location,score,review_count,description,image,coords,lat,lon
https://www.booking.com/hotel/fr/vert.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,Hotel Vert,Le Mont-Saint-Michel,"8,0",4 291 experiences vecues,"Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une...",https://cf.bstatic.com/xdata/images/hotel/square200/122592840.jpg?k=1a65c151f06a93e6bc1c22a84fd834e6fe9ef437ecf08ae865dc9c6259c615d6&o=,"48.61470049,-1.50961697",48.61470049,-1.50961697
https://www.booking.com/hotel/fr/de-la-digue.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,Hotel De La Digue,Le Mont-Saint-Michel,"7,1",2 782 experiences vecues,"L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. ",https://cf.bstatic.com/xdata/images/hotel/square200/92104071.jpg?k=69345a2e048165a4e30c57f90cedc2cd1876ddafbedb659f6768bf8b64c65b6e&o=,"48.61688155,-1.51091784",48.61688155,-1.51091784
https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,Le Saint Aubert,Le Mont-Saint-Michel,"7,1",1 269 experiences vecues,"Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial. ",https://cf.bstatic.com/xdata/images/hotel/square200/85738273.jpg?k=7654b823328fd198a8ba7585b31018eb2d451107501e8e3e6921944be42400a0&o=,"48.61293783,-1.51010513",48.61293783,-1.51010513
https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,La Vieille Auberge,Le Mont-Saint-Michel,"7,1",1 107 experiences vecues,"La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. ",https://cf.bstatic.com/xdata/images/hotel/square200/47768676.jpg?k=e9d817781e9d692e8b788c034d43a02e3515b5c3dd62f6915eace31e512b24ea&o=,"48.63606300,-1.51145700",48.636063,-1.511457
https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Mercure Mont Saint Michel,Le Mont-Saint-Michel,"8,2",3 543 experiences vecues,"Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de...",https://cf.bstatic.com/xdata/images/hotel/square200/260911452.jpg?k=8503f84c1a0131acbe7b020c6a3bf507e538eb4da6524bc310e5443c60936f01&o=,"48.61424653,-1.51054502",48.61424653,-1.51054502
https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,Le Mouton Blanc,Le Mont-Saint-Michel,"7,0",1 581 experiences vecues,"Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante. ",https://cf.bstatic.com/xdata/images/hotel/square200/138240060.jpg?k=a9fc6eb711984ad44dfbe4a9095cc6310b66e2d21205f71120cfb2ab08e5827b&o=,"48.63602298,-1.50989592",48.63602298,-1.50989592
https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,Les Terrasses Poulard,Le Mont-Saint-Michel,"7,3",2 454 experiences vecues,"Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue. ",https://cf.bstatic.com/xdata/images/hotel/square200/103578912.jpg?k=0e24292c557cf96fb2f2ded574bb71b9eb4c6f1095ffcd871f893df7aedabae7&o=,"48.63534943,-1.51037872",48.63534943,-1.51037872
https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,Hotel Gabriel,Le Mont-Saint-Michel,"7,9",2 485 experiences vecues,"L’Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel. L’établissement est à seulement 25 minutes à pied des remparts de la vieille ville. ",https://cf.bstatic.com/xdata/images/hotel/square200/34904065.jpg?k=bc0efe385b7b04fda5da1863ad2be942f2afa95a3ae298b73181d9081a34d8da&o=,"48.61538141,-1.51070997",48.61538141,-1.51070997
https://www.booking.com/hotel/fr/le-relais-du-roy.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,Le Relais Du Roy,Le Mont-Saint-Michel,"7,9",1 112 experiences vecues,"Le Relais Du Roy est un hôtel 3 étoiles situé au bord du Couesnon, à seulement 1,5 km du Mont Saint-Michel et à 50 mètres de la navette gratuite. ",https://cf.bstatic.com/xdata/images/hotel/square200/122643267.jpg?k=c0186f70828e9eeb2306c01f82d769dd840f8919781b18a51cf01e0a369535f7&o=,"48.61626270,-1.51090577",48.6162627,-1.51090577
https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,La Mere Poulard,Le Mont-Saint-Michel,"7,0",1 848 experiences vecues,"Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. ",https://cf.bstatic.com/xdata/images/hotel/square200/158191543.jpg?k=29b6e1c82570de488e4b902d8c40df920d6dc96256931018139f2c4ecdb7923e&o=,"48.63508532,-1.51053965",48.63508532,-1.51053965
https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,Auberge Saint Pierre,Le Mont-Saint-Michel,"7,9",836 experiences vecues,"L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. ",https://cf.bstatic.com/xdata/images/hotel/square200/4318852.jpg?k=af4b770654cc4bec3a15aa13a93dec32ad951e3525e181867fb4fdaf65306689&o=,"48.63568798,-1.50988251",48.63568798,-1.50988251
https://www.booking.com/hotel/fr/l-39-hirondelle-pontorson.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=deab96de7ae100f5&srepoch=1665350845&from=searchresults#hotelTmpl,L'Hirondelle,Pontorson,"9,1",174 experiences vecues,Hébergement géré par un particulier,https://cf.bstatic.com/xdata/images/hotel/square200/170156923.jpg?k=6834aac8c001c24c8e393a5744f7b683bdddd89af711fab77c862c2b673d4209&o=,"48.61579500,-1.48871200",48.615795,-1.488712
